,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
380,Pazo Barrantes, 2020,40.9,3.9,Vino blanco,Rías Baixas,13.5,Albariño,94.0,93.0,95.0
381,Santiago Ruiz, 2022,14.9,4.4,Vino blanco,Rías Baixas,12.5,Albariño,,,
382,Vallegarcía Syrah, 2021,24.5,4.6,Vino tinto,Vallegarcía,15.5,Syrah,91.0,,
383,Osborne Pedro Ximenez 1827,,11.4,4.4,Vino dulce,Jerez-Manzanilla,17.0,Palomino fino,,,
384,Serras del Priorat, 2022,23.6,4.6,Vino tinto,Priorat,15.0,Garnacha,91.0,,93.0
385,Protos Reserva, 2017,29.9,4.7,Vino tinto,Ribera del Duero,14.5,Tempranillo,90.0,93.0,91.0
386,López Cristóbal Finca La Colorada Crianza, 2020,18.5,4.4,Vino tinto,Ribera del Duero,14.5,Tempranillo,,92.0,
387,Por tí, 2020,25.6,5.0,Vino tinto,Jumilla,15.0,Monastrell,,93.0,91.0
388,Glárima Gewürztraminer Chardonnay, 2023,4.5,3.8,Vino blanco,Somontano,13.0,Gewürztraminer,,,
389,Jaros Tinto, 2020,17.75,4.3,Vino tinto,Ribera del Duero,14.0,Tempranillo,,,
390,Lustau Moscatel Emilín,,20.9,4.3,Vino dulce natural,Jerez-Manzanilla,17.0,Moscatel de Alejandría,,,
391,Matsu El Pícaro, 2022,8.8,4.3,Vino tinto,Toro,14.5,Tinta de Toro,,,
392,Mont Marçal Rosado Brut,,7.9,4.5,Cava,DO Cava,11.5,Trepat,,,
393,Finca l'Argatà, 2019,35.05,4.0,Vino tinto,Montsant,14.5,Garnacha,94.0,91.0,
394,Campillo Crianza, 2020,12.95,4.3,Vino tinto,Rioja,13.5,Tempranillo,,90.0,92.0
395,Borsao Tinto Selección, 2022,4.95,4.1,Vino tinto,Campo de Borja,14.5,Garnacha,,,
396,Mastinell Brut Real Gran Reserva, 2011,15.9,4.8,Cava,DO Cava,12.5,Macabeo,,90.0,
397,Michelini i Mufatto En el Camino, 2021,15.0,4.0,Vino tinto,Bierzo,12.5,Mencía,,,
398,Vernatxa Blanc, 2022,17.5,4.4,Vino blanco,Terra Alta,13.0,Garnacha blanca,,,
399,200 Monges Reserva, 2013,45.25,4.2,Vino tinto,Rioja,13.5,Tempranillo,,,
400,Erial, 2021,14.9,4.5,Vino tinto,Ribera del Queiles,14.5,Tempranillo,,,
401,Botani Sparkling Muscat, 2022,16.9,4.5,Vino espumoso,Sierras de Málaga,9.5,Moscatel de Alejandría,92.0,,
402,Cora de Loxarel, 2022,8.8,4.8,Vino blanco,Penedès,12.5,Moscatel de Alejandría,,,
403,Albariño Mar de Frades, 2022,18.5,4.6,Vino blanco,Rías Baixas,12.5,Albariño,,,
404,El Jardín de la Emperatriz Tinto, 2019,11.95,4.5,Vino tinto,Rioja,14.0,Tempranillo,91.0,92.0,92.0
405,Garmón, 2020,39.95,4.7,Vino tinto,Ribera del Duero,14.5,Tempranillo,,93.0,
406,Menade Verdejo, 2022,9.5,4.2,Vino blanco,Rueda,13.0,Verdejo,,90.0,
407,Azpilicueta Crianza, 2020,8.95,4.3,Vino tinto,Rioja,13.5,Tempranillo,,91.0,
408,Anna de Codorníu Brut Nature,,9.35,4.2,Cava,DO Cava,11.5,Chardonnay,,,
409,Laus Reserva, 2018,8.7,5.0,Vino tinto,Somontano,13.5,Cabernet sauvignon,,,
410,Vermell, 2022,9.2,4.2,Vino tinto,Valencia,13.0,Monastrell,92.0,,
411,Agnvs Crianza, 2019,13.9,5.0,Vino tinto,Rioja,14.0,Tempranillo,,,
412,Càtar, 2022,7.9,4.5,Vino tinto,Montsant,14.0,Garnacha,,,
413,Godeval Cepas Vellas, 2022,24.5,0.0,Vino blanco,Valdeorras,13.0,Godello,90.0,92.0,
414,Tolo do Xisto, 2019,17.0,3.0,Vino tinto,Ribeira Sacra,13.0,Mencía,90.0,,
415,Termes, 2020,24.5,4.5,Vino tinto,Toro,15.0,Tinta de Toro,90.0,93.0,94.0
416,San Cobate, 2020,17.3,4.0,Vino tinto,Ribera del Duero,14.0,Tempranillo,91.0,91.0,
417,Pinord Mireia, 2022,12.5,4.5,Vino blanco,Penedès,12.0,Gewürztraminer,,,
418,Emilio Moro La Revelía, 2021,24.9,4.0,Vino blanco,Bierzo,14.0,Godello,92.0,,93.0
419,Arrayán Syrah, 2020,13.95,5.0,Vino tinto,Méntrida,14.0,Syrah,92.0,,
420,Envidia Cochina, 2021,24.95,5.0,Vino blanco,Rías Baixas,13.0,Albariño,,,
421,Can Sumoi Ancestral Montonega, 2022,14.24,4.5,Ancestral,España,11.0,Parellada,91.0,,
422,U Mes U Ardea Rosé Brut Reserva,,16.9,0.0,Cava,DO Cava,11.5,Pinot noir,,,
423,Palomo Cojo, 2022,8.95,4.4,Vino blanco,Rueda,13.0,Verdejo,,,
424,Cims de Porrera Clàssic, 2015,46.95,4.8,Vino tinto,Priorat,14.5,Cariñena,93.0,,
425,Privat Rosé Brut  Nature, 2021,12.1,0.0,Cava,DO Cava,12.0,Chardonnay,,91.0,
426,Monte Toro 3 Añada Selección, 2022,4.95,4.3,Vino tinto,Toro,14.5,Tinta de Toro,,,
427,Dido Blanc, 2021,20.45,4.3,Vino blanco,Montsant,14.0,Macabeo,93.0,,
428,Troupe, 2022,9.95,4.8,Vino blanco,Rías Baixas,13.0,Albariño,,90.0,
429,Cune Imperial Reserva, 2018,29.2,4.1,Vino tinto,Rioja,14.0,Tempranillo,94.0,,
430,Gramona Argent, 2019,35.7,5.0,Cava,Corpinnat,12.0,Chardonnay,92.0,93.0,
431,Losada Godello, 2022,15.2,4.5,Vino blanco,Bierzo,14.0,Godello,90.0,,93.0
432,La Orquesta, 2019,14.9,4.3,Vino blanco,Castilla y León,13.0,Garnacha blanca,93.0,,
433,Quinta Quietud, 2017,19.8,4.3,Vino tinto,Toro,14.5,Tinta de Toro,,92.0,
434,Par - Vino naranja, ,14.5,4.6,Vino Naranja del Condado de Huelva,Condado de Huelva,15.0,Zalema,,,
435,Meraldis Verdejo, 2020,21.5,0.0,Vino blanco,Rueda,14.0,Verdejo,92.0,,
436,Viña Salceda Reserva, 2018,13.9,4.2,Vino tinto,Rioja,13.5,Tempranillo,91.0,92.0,
437,Llopart Microcosmos Rosé Brut Nature, 2020,21.5,3.4,Cava,Corpinnat,11.5,Pinot noir,91.0,,
438,Reyes de Aragón Reserva Brut Nature,,17.9,5.0,Cava,DO Cava,11.5,Chardonnay,,,
439,Barco del Corneta Cucú, 2022,10.15,4.5,Vino blanco,Castilla y León,13.0,Verdejo,91.0,,
440,Viña Tondonia Gran Reserva Histórico, 1981,223.5,5.0,Vino Tinto,Rioja,12.5,Tempranillo,,,
441,Tocat de l'Ala, 2019,12.1,4.7,Vino tinto,Empordà,14.5,Garnacha,,91.0,
442,Agnvs Tempranillo, 2021,8.95,4.5,Vino tinto,Rioja,14.0,Tempranillo,,,
443,Gómez Cruzado Crianza, 2020,10.5,3.5,Vino tinto,Rioja,14.5,Tempranillo,92.0,91.0,
444,Izadi Larrosa Negra, 2021,8.95,4.6,Vino tinto,Rioja,14.5,Garnacha,91.0,90.0,93.0
445,Belondrade y Lurton, 2022,45.9,4.9,Vino blanco,Rueda,14.0,Verdejo,95.0,97.0,
446,La Fuente de Nekeas Crianza, 2020,7.15,4.4,Vino tinto,Navarra,13.5,Cabernet sauvignon,,,
447,Nekeas Chardonnay Cuvée Allier, 2022,10.95,4.5,Vino blanco,Navarra,13.5,Chardonnay,,,
448,Ses Nines Negre, 2022,11.5,4.4,Vino tinto,Mallorca,13.5,Mantonegro,,,
449,Roda, 2020,30.9,4.6,Vino tinto,Rioja,14.5,Tempranillo,92.0,93.0,93.0
450,Guímaro Godello, 2022,12.9,4.0,Vino blanco,Ribeira Sacra,12.0,Godello,93.0,,
451,Bertha Cardús Brut Nature Gran Reserva, 2019,19.8,4.8,Cava,DO Cava,11.5,Macabeo,,,
452,Coca i Fitó Negre, 2013,31.5,5.0,Vino tinto,Montsant,14.5,Syrah,,93.0,
453,Pagos de Anguix Costalara, 2020,22.95,4.0,Vino Tinto,Ribera del Duero,14.5,Tempranillo,,,
454,Txakoli Aialle, 2022,11.95,4.8,Vino blanco,Getariako Txakolina,11.0,Hondarribi zuri,,,
455,Azpilicueta Colección Privada Blanco, 2021,20.95,5.0,Vino blanco,Rioja,13.0,Viura,,,
456,Diaz Bayo 8 Meses Roble, 2022,8.95,4.3,Vino tinto,Ribera del Duero,14.0,Tempranillo,90.0,94.0,
457,Fuentespina 3 Meses Roble, 2022,6.8,4.0,Vino tinto,Ribera del Duero,13.5,Tempranillo,,,
458,Marqués de Cáceres Crianza, 2019,8.95,4.4,Vino tinto,Rioja,13.5,Tempranillo,,,
459,Luzón Colección Roble, 2022,7.8,4.0,Vino tinto,Jumilla,14.5,Monastrell,,,
460,Vivanco Reserva, 2017,13.95,4.4,Vino tinto,Rioja,14.0,Tempranillo,92.0,90.0,
461,Sabaté i Coca Mosset Brut Nature, 2019,16.2,0.0,Cava,Corpinnat,12.5,Xarel·lo,92.0,,
462,Baluarte Roble Ribera, 2022,8.3,4.5,Vino tinto,Ribera del Duero,14.0,Tempranillo,,,
463,Mart, 2022,12.95,4.5,Vino rosado criado en barrica,Penedès,11.5,Xarel·lo vermell,,,
464,Costers del Gravet, 2021,13.25,4.3,Vino tinto,Montsant,14.5,Cabernet sauvignon,90.0,,
465,Barahonda Organic Barrica, 2020,9.2,4.5,Vino tinto,Yecla,14.5,Monastrell,,,
