,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
159,Godeval Godello, 2022,"15,80 €","4,5",Vino blanco,Valdeorras,"13,5%",Godello,90 PK,91 PN,NA
160,Can Descregut Brut Nature Reserva, 2021,"10,90 €","3,4",Cava,Corpinnat,"11,5%",Xarel·lo,91 PK,NA,NA
161,Martinet Bru, 2021,"23,95 €","4,3",Vino tinto,Priorat,"14,0%",Syrah,94 PK,NA,NA
162,Semele, 2020,"9,90 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,93 PN,NA
163,Valduero Una Cepa, 2018,"33,50 €","5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,92 PN,NA
164,Casar de Burbia Mencía, 2019,"9,95 €","4,0",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,90 PN,91 SK
165,Pere Ventura Tresor Brut Rosé,,"18,00 €","4,0",Cava,DO Cava,"11,5%",Trepat,NA,NA,NA
166,Els Cirerets, 2020,"38,60 €","5,0",Vino tinto,Priorat,"15,5%",Garnacha,94+ PK,94 PN,NA
167,Gago, 2019,"19,55 €","3,9",Vino tinto,Toro,"14,0%",Tinta de Toro,92+ PK,92 PN,NA
168,Viña Zorzal Malayeto, 2021,"14,40 €","3,9",Vino tinto,Navarra,"14,0%",Garnacha,94 PK,94 PN,NA
169,Hacienda Monasterio, 2021,"40,50 €","4,7",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94+ PK,NA,NA
170,Viña Pomal Crianza, 2020,"8,95 €","3,8",Vino tinto,Rioja,"14,5%",Tempranillo,90 PK,NA,NA
171,Borsao Zarihs, 2019,"14,65 €","4,1",Vino tinto,Campo de Borja,"15,0%",Syrah,91 PK,NA,NA
172,Viña Zorzal Garnacha, 2022,"6,75 €","4,2",Vino tinto,Navarra,"13,5%",Garnacha,92 PK,91 PN,NA
173,Guímaro, 2022,"11,20 €","3,9",Vino tinto,Ribeira Sacra,"13,0%",Mencía,92 PK,NA,NA
174,Familia Oliveda Brut Rosat,,"6,40 €","4,7",Cava,DO Cava,"11,5%",Garnacha,NA,NA,NA
175,Castro Ventosa Valtuille Vino de Villa, 2021,"15,90 €","4,3",Vino tinto,Bierzo,"13,5%",Mencía,94 PK,NA,NA
176,Cunqueiro III Milenium, 2022,"12,95 €","4,3",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
