Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
77,La Celestina Vendimia Seleccionada, 2019,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,91+ PK,90 PN,NA
78,Domaines Lupier La Dama, 2018,No se encontró el elemento price,"4,5",Vino tinto,Navarra,"14,0%",Garnacha,97 PK,94 PN,NA
79,Laya, 2022,No se encontró el elemento price,"4,2",Vino tinto,Almansa,"14,5%",Garnacha tintorera,90 PK,90 PN,92 SK
80,Altos de Torona Albariño, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
81,El Perro Verde, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rueda,"13,0%",Verdejo,90+ PK,NA,NA
82,Cava Rimarts Martinez Brut Nature Rosé,,No se encontró el elemento price,"4,6",Cava,DO Cava,"11,5%",Pinot noir,NA,NA,NA
83,El Vínculo Crianza, 2020,No se encontró el elemento price,"4,5",Vino tinto,La Mancha,"15,5%",Tempranillo,90 PK,NA,90 SK
84,Baigorri Crianza, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,5%",Tempranillo,NA,90 PN,92 SK
85,Flor de Pingus, 2021,"159,50 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,95-96 PK,96 PN,97 SK
86,Llopart Rosé Brut, 2021,"15,95 €","4,9",Cava,Corpinnat,"11,5%",Monastrell,91 PK,NA,NA
87,Sierra Cantabria Crianza, 2019,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"14,5%",Tempranillo,91 PK,92 PN,NA
88,Casar de Burbia Godello, 2022,No se encontró el elemento price,"4,4",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
89,Adernats Gran Reserva Pur, 2013,No se encontró el elemento price,"4,9",Cava,DO Cava,"12,0%",Macabeo,91+ PK,90 PN,NA
90,Familia Oliveda Brut Nature Reserva,,No se encontró el elemento price,"4,4",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
91,Pícaro del Águila Tinto, 2021,No se encontró el elemento price,"4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,95 PK,NA,NA
92,Basa Blanco, 2022,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,5%",Verdejo,90 PK,NA,NA
93,La Planta, 2022,"9,30 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,90 PK,90 PN,91 SK
94,Venta Las Vacas, 2021,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90+ PK,93 PN,NA
95,Otazu Chardonnay, 2022,No se encontró el elemento price,"4,6",Vino blanco,Navarra,"13,5%",Chardonnay,91 PK,90 PN,93 SK
96,Luis Cañas Reserva, 2016,"17,25 €","4,5",Vino tinto,Rioja,"14,5%",Tempranillo,90 PK,92 PN,NA
97,Pago de los Capellanes Reserva, 2020,No se encontró el elemento price,"4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,91 PK,94 PN,91 SK
98,Lindes de Remelluri Viñedos de San Vicente, 2020,"17,70 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,92+ PK,92 PN,94 SK
99,Carles Andreu Gran Reserva Brut Nature, 2020,No se encontró el elemento price,"4,5",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
100,Alta Alella Mirgin Rosé Reserva, 2019,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Mataró,NA,NA,NA
101,Enate Chardonnay - 234, 2023,"9,30 €","4,4",Vino blanco,Somontano,"14,0%",Chardonnay,NA,90 PN,NA
102,Oriol Rossell Brut Nature Reserva, 2021,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
103,Roda I, 2018,"51,90 €","4,9",Vino tinto,Rioja,"14,5%",Tempranillo,94 PK,93 PN,94 SK
104,Privat Reserva Brut Nature, 2021,No se encontró el elemento price,"3,9",Cava,DO Cava,"11,5%",Xarel·lo,NA,91 PN,NA
105,Naranjas Azules, 2022,No se encontró el elemento price,"3,7",Vino rosado,Cebreros,"13,0%",Garnacha,93 PK,92 PN,NA
106,Bocchoris Brut Nature,,No se encontró el elemento price,"4,4",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
